openingDate;postalCode;address;managers;name;phone;mail;status;code;reference;contract
02/12/2016;69300  ;CALUIRE;Yohan AMAR et Mickael MENIERE;CABINET MENIERE;04 78 08 10 10;caluire@guyhoquet.com ;P;HOQUET1277;Siège;
09/12/2016;27220;SAINT ANDRE DE L'EURE;Christelle JORET;JORET IMMOBILIER;02.32.30.50.50;standre@guyhoquet.com ;Succ;HOQUET1278;Siège;1956
15/12/2016;31000;TOULOUSE CENTRE;François LEGELEUX ;France TRANSACTION;05 62 275 475;toulousecentre@guyhoquet.com;P;HOQUET1279;Siège;2224
15/12/2016;9120;VARILHES;Marie-Christine LACOSTE et Marie-France SANCHEZ ;SARL LCM;05 61 60 79 80;varilhes@guy-hoquet.com;P;HOQUET1280;Siège;2246
21/12/2016;66680;CANOHES ;Denise RENOULT ;ABDR;04 68 50 89 19;canohes@guyhoquet.com  ;P;HOQUET1281;Siège;2243
30/12/2016;75017  ;PARIS 17;Maria CHETTI ;CONSTANTIMMO;01 77 37 07 07;paris17brochant@guyhoquet.com;P;HOQUET1282;Siège;2136
10/11/2016;60800;CREPY EN VALOIS;Cédric LECOMTE et Moulley-Driss BICH;IMMO CREPY AND CO;03 44 92 00 00;crepyenvalois@guyhoquet.com;P;HOQUET1274;Siège;2142
29/11/2016;75016;PARIS 16 Auteil;Natacha ATLANI;AGENCE AUTEUIL;01 08 95 52 62;paris16auteil@guyhoquet.com;P;HOQUET1275;Siège;2069
30/11/2016;40140;SOUSTONS;Julien et Benjamin Roblès;BREMONTIER;05 58 41 03 33;soustons@guyhoquet.com ;P;HOQUET1276;Siège;2208
04/11/2016;77240;VERT SAINT DENIS;Mickael MOUL ;TRANSACTION GESTION PATRIMOINE VSD;01 64 41 80 00;vertstdenis@guyhoquet.com;P;HOQUET1273;Siège;2238
30/11/2016;40480;VIEUX BOUCAU;Julien et Benjamin Roblès;BREMONTIER;05 58 58 03 03;vieuxboucau@guyhoquet.com;Succ;HOQUET1276;Pas de code unique;2208
23/03/2015;47000;AGEN;Ludovic HERUBERT ;AGENIA IMMO;05 53 47 43 94;agen@guyhoquet.com ;P;HOQUET1206;Siège;1972
30/11/2016;97139;"GUADELOUPE
LES ABYMES";Patrick GOUAIT;MENHIR IMMOBILIER;05 90 83 02 74;abymes@guyhoquet-antilles.com;P;HOQUET875;Siège;
30/11/2016;97180;"GUADELOUPE
sainte anne";Patrick GOUAIT;GP IMMOBILIER;05 90 44 30 99;sainteanne@guyhoquet-antilles.com;P;HOQUET875;Siège;
30/11/2016;97229;"MARTINIQUE
LES TROIS ILETS";Patrick GOUAIT;GP IMMOBILIER;05 96 38 24 27;3ilets@guyhoquet-antilles.com;P;HOQUET875;Siège;
;73100;AIX LES BAINS;Thibaud DEWIT;CITY'IMMO;04 79 35 11 46;aixlesbains@guyhoquet.com;P;HOQUET529;Siège;2107
